Country,Code, Year,GDP per capital (USD),Life satisfaction
Afghanistan,AFG,2017,2058.4001,3.6315
Albania,ALB,2017,12770.964,4.586
Algeria,DZA,2017,11737.401,5.2946
Angola,AGO,2017,7310.8965,37.948
Argentina,ARG,2017,23597.117,6.388
Armenia,ARM,2017,12115.14,4.3206
Australia,AUS,2017,48398.55,7.2721
Austria,AUT,2017,54172.99,7.1394
Azerbaijan,AZE,2017,14121.407,5.2006
Bangladesh,BGD,2017,4160.703,4.5004
Belgium,BEL,2017,50442.27,7.113178
Bolivia,BOL,2017,8423.697,5.7519
Brazil,BRA,2017,14524.613,6.4189
Bulgaria,BGR,2017,21469.945,4.9331
Canada,CAN,2017,48317.176,7.3285
Central African Republic,CAF,2017,912.80304,3.083
Chile,CHL,2017,24470.703,6.4762
China,CHN,2017,14243.532,5.2458
Colombia,COL,2017,14171.32,6.3426
Congo,COG,2017,4234.6597,4.5587
Costa Rica,CRI,2017,20347.035,7.0717
Croatia,HRV,2017,27154.084,5.3212
Denmark,DNK,2017,55356.68,7.5553
Ecuador,ECU,2017,11617.912,5.9732
Egypt,EGY,2017,11014.486,4.4192
El Salvador,SLV,2017,8454.052,6.1668
Estonia,EST,2017,33821.934,5.7392
Finland,FIN,2017,47570.133,7.6321
France,FRA,2017,44577.066,6.4893
Georgia,GEO,2017,13589.707,4.3405
Germany,DEU,2017,53071.457,6.9647
Ghana,GHA,2017,5115.9067,4.657
Greece,GRC,2017,28604.861,5.3579
Guatemala,GTM,2017,8322.217,6.3819
Haiti,HTI,2017,3153.2993,3.582
Honduras,HND,2017,5561.9946,5.504
Hong Kong,HKG,2017,59849.25,5.4304
India,IND,2017,6182.922,4.1898
Indonesia,IDN,2017,10935.632,5.0926
